image,cve_id,package,n_scanners,scanners
python-3.9-slim-bookworm,CVE-2024-28085,util-linux,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2022-0563,util-linux,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-14104,util-linux,3,"grype,scout,trivy"
python-3.9-alpine3.18,CVE-2023-42363,busybox,3,"grype,scout,trivy"
python-3.9-alpine3.18,CVE-2023-42364,busybox,3,"grype,scout,trivy"
python-3.9-alpine3.18,CVE-2023-42365,busybox,3,"grype,scout,trivy"
python-3.9-alpine3.18,CVE-2023-42366,busybox,3,"grype,scout,trivy"
python-3.9-alpine3.18,CVE-2025-26519,musl,3,"grype,scout,trivy"
node-16-alpine3.18,CVE-2023-42363,busybox,3,"grype,scout,trivy"
node-16-alpine3.18,CVE-2023-42364,busybox,3,"grype,scout,trivy"
node-16-alpine3.18,CVE-2023-42365,busybox,3,"grype,scout,trivy"
node-16-alpine3.18,CVE-2023-42366,busybox,3,"grype,scout,trivy"
node-16-alpine3.18,CVE-2025-26519,musl,3,"grype,scout,trivy"
nginx-1.20,CVE-2011-3374,apt,3,"grype,scout,trivy"
nginx-1.20,CVE-2017-18018,coreutils,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-5278,coreutils,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-22945,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-32207,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-32221,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-38545,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-22946,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-22576,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-27775,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-27781,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-27782,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-27533,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-27534,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-2398,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-22947,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-27774,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-27776,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-32205,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-32206,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-32208,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-43552,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-23916,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-27535,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-27536,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-27538,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-28321,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-46218,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-7264,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-8096,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-22898,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-22922,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-22923,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-22924,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-35252,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-28320,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-28322,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-38546,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-2379,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-0725,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-10966,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-14017,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-15079,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-15224,curl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-1664,dpkg,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-1304,e2fsprogs,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-41989,libgcrypt20,3,"grype,scout,trivy"
nginx-1.20,CVE-2018-6829,libgcrypt20,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-2236,libgcrypt20,3,"grype,scout,trivy"
nginx-1.20,CVE-2021-46848,libtasn1-6,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-12133,libtasn1-6,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-56171,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-49794,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-49796,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-2309,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-40303,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-40304,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-49043,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-25062,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-24928,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-27113,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-32414,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-32415,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-6021,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-6732,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2016-3709,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-29824,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-28484,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-29469,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-39615,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-45322,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-34459,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-9714,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-6170,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-8732,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-1757,libxml2,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-2068,openssl,3,"grype,scout,trivy"
