scanner,image,tp,fp,fn,precision,recall,f1
trivy,debian-bullseye-slim,9,170,0,0.0503,1.0,0.0957
trivy,nginx-1.20,114,560,0,0.1691,1.0,0.2893
trivy,node-16-alpine3.18,5,50,0,0.0909,1.0,0.1667
trivy,node-16-slim,0,121,0,0.0,0.0,0.0
trivy,python-3.9-alpine3.18,5,42,0,0.1064,1.0,0.1923
trivy,python-3.9-slim-bookworm,40,299,0,0.118,1.0,0.2111
grype,debian-bullseye-slim,9,163,0,0.0523,1.0,0.0994
grype,nginx-1.20,114,554,0,0.1707,1.0,0.2916
grype,node-16-alpine3.18,5,84,0,0.0562,1.0,0.1064
grype,node-16-slim,0,211,0,0.0,0.0,0.0
grype,python-3.9-alpine3.18,5,104,0,0.0459,1.0,0.0877
grype,python-3.9-slim-bookworm,40,342,0,0.1047,1.0,0.1896
scout,debian-bullseye-slim,9,57,0,0.1364,1.0,0.24
scout,nginx-1.20,114,253,0,0.3106,1.0,0.474
scout,node-16-alpine3.18,5,31,0,0.1389,1.0,0.2439
scout,node-16-slim,0,17,0,0.0,0.0,0.0
scout,python-3.9-alpine3.18,5,29,0,0.1471,1.0,0.2564
scout,python-3.9-slim-bookworm,40,95,0,0.2963,1.0,0.4571
